t,x,y,theta_deg,idx,target_x,target_y,v,w,danger,stop_emergency,ps0_raw,ps1_raw,ps2_raw,ps3_raw,ps4_raw,ps5_raw,ps6_raw,ps7_raw,ps0_kf,ps1_kf,ps2_kf,ps3_kf,ps4_kf,ps5_kf,ps6_kf,ps7_kf
23.008,-0.2459276955668007,0.3050181424470141,60.04533360867782,29,-0.17500000000000004,0.3999999999999999,0.09140826507773103,-0.23722052545188885,0,0,69,68,61,69,66,63,69,63,67.8,66.3,66.8,67.1,66.6,66.3,67.9,66.8
23.016000000000002,-0.24554200497685458,0.30568740048576076,60.04533360867753,29,-0.17500000000000004,0.3999999999999999,0.09131933137255072,-0.23877271142328338,0,0,69,69,71,70,64,72,69,65,68.0,66.7,67.4,67.6,66.4,67.1,68.1,66.6
23.024,-0.2451877626857265,0.3063004873671049,59.915925562107326,29,-0.17500000000000004,0.3999999999999999,0.09149637838795771,-0.23568265807360245,0,0,69,71,68,65,65,64,70,64,68.2,67.3,67.5,67.3,66.3,66.7,68.5,66.4
23.032,-0.244832136583437,0.306912772594977,59.78651751553711,29,-0.17500000000000004,0.3999999999999999,0.09167400111969583,-0.23258255657838567,0,0,71,65,71,66,70,67,70,60,68.6,67.0,68.1,67.1,66.9,66.8,68.8,65.6
23.04,-0.24447512848412584,0.3075242530459534,59.657109468966325,29,-0.17500000000000004,0.3999999999999999,0.09185221017534247,-0.2294722218004819,0,0,58,66,66,76,67,62,63,71,67.3,66.9,67.9,68.3,67.0,66.2,68.2,66.4
23.048000000000002,-0.2440849120310537,0.3081908823832555,59.65710946896662,29,-0.17500000000000004,0.3999999999999999,0.0917640138817441,-0.23101153751182893,0,0,67,68,65,66,68,62,61,67,67.4,67.1,67.6,68.1,67.1,65.7,67.3,66.5
23.056,-0.24372652375591056,0.3088015549380178,59.52770142239582,29,-0.17500000000000004,0.3999999999999999,0.09194173923712054,-0.22790964489623325,0,0,66,68,64,68,70,66,63,68,67.2,67.2,67.3,68.2,67.5,65.8,66.8,66.8
23.064,-0.24336675713316577,0.3094114164813691,59.39829337582562,29,-0.17500000000000004,0.3999999999999999,0.09212006358295911,-0.22479729792488487,0,0,73,68,68,70,64,75,64,62,68.1,67.3,67.4,68.5,67.1,67.1,66.5,66.2
23.072,-0.24293995160988374,0.310131199796955,59.26888532925511,29,-0.17500000000000004,0.3999999999999999,0.09228436713128332,-0.22192966003391779,0,0,68,66,78,63,63,64,67,63,68.2,67.2,68.9,67.8,66.6,66.8,66.7,65.9
23.080000000000002,-0.24257743380474245,0.3107394299884578,59.13947728268491,29,-0.17500000000000004,0.3999999999999999,0.09246374115400172,-0.21879899274493475,0,0,72,70,67,64,65,60,66,72,68.7,67.6,68.7,67.4,66.4,65.9,66.6,66.8
23.088,-0.24221354317884072,0.3113468398478452,59.010069236114404,29,-0.17500000000000004,0.3999999999999999,0.09264374739642346,-0.2156572911405323,0,0,68,73,64,59,66,64,67,64,68.6,68.4,68.2,66.4,66.4,65.7,66.7,66.5
23.096,-0.24181582353454228,0.3120090200636014,59.010069236114404,29,-0.17500000000000004,0.3999999999999999,0.09255752713565574,-0.21716211857285694,0,0,65,72,69,68,68,72,67,69,68.3,68.9,68.3,66.7,66.7,66.6,66.8,66.9
23.104,-0.2414505619441794,0.3126156064923202,58.8806611895439,29,-0.17500000000000004,0.3999999999999999,0.09273707812580845,-0.21402836261947636,0,0,60,67,64,62,60,64,63,64,67.2,68.8,67.9,66.2,65.9,66.3,66.4,66.7
23.112000000000002,-0.24105134771767553,0.31327688673167164,58.8806611895439,29,-0.17500000000000004,0.3999999999999999,0.09265035117829432,-0.2155420334038025,0,0,67,70,67,64,67,72,64,68,67.2,69.0,67.8,66.0,66.1,67.0,66.1,67.0
23.12,-0.24068471702614444,0.313882646635369,58.751253142973695,29,-0.17500000000000004,0.3999999999999999,0.09282942824864095,-0.21241654891142803,0,0,73,65,69,64,65,70,69,65,68.1,68.5,68.0,65.8,66.1,67.5,66.5,66.8
23.128,-0.24028251975232537,0.31454211680643995,58.49243704983268,29,-0.17500000000000004,0.3999999999999999,0.09326165450573518,-0.2048727776115622,0,0,71,68,72,67,65,64,64,67,68.5,68.5,68.6,66.0,66.0,67.1,66.3,66.9
23.136,-0.23987883402861368,0.31520067689486897,58.49243704983268,29,-0.17500000000000004,0.3999999999999999,0.0931768818321464,-0.2063523398814049,0,0,70,65,63,58,63,68,73,60,68.7,68.2,67.9,65.1,65.7,67.2,67.3,66.0
23.144000000000002,-0.23950810728312857,0.3158039386996286,58.363029003262184,29,-0.17500000000000004,0.3999999999999999,0.09335777001917359,-0.20319524543981718,0,0,64,73,65,71,63,66,70,68,68.1,68.8,67.6,65.9,65.4,67.1,67.8,66.3
23.152,-0.2391029351688286,0.3164615853459319,58.363029003262184,29,-0.17500000000000004,0.3999999999999999,0.09327251305875943,-0.2046832601092867,0,0,69,69,66,67,65,68,70,65,68.3,69.0,67.5,66.2,65.4,67.3,68.2,66.2
23.16,-0.23873084684509244,0.3170640082905804,58.23362095669168,29,-0.17500000000000004,0.3999999999999999,0.09345294795330548,-0.20153407711396928,0,0,58,71,70,68,70,66,72,64,67.0,69.3,67.8,66.5,66.0,67.2,68.8,66.0
23.168,-0.23835739884122287,0.31766558930200434,58.104212910121475,29,-0.17500000000000004,0.3999999999999999,0.09363407487456236,-0.1983728159740361,0,0,69,72,62,72,66,59,68,68,67.3,69.8,67.2,67.2,66.1,66.1,68.7,66.3
23.176000000000002,-0.2379144465570104,0.31837555004036305,57.97480486355097,29,-0.17500000000000004,0.3999999999999999,0.09380179812504098,-0.19544549302103717,0,0,65,66,72,69,64,73,73,68,67.0,69.3,67.9,67.5,65.9,67.1,69.4,66.6
23.184,-0.23753828491496204,0.3189754379831921,57.84539681698047,29,-0.17500000000000004,0.3999999999999999,0.09398415974965618,-0.192262682242216,0,0,62,72,70,64,66,65,68,71,66.5,69.8,68.2,67.2,65.9,66.9,69.3,67.2
23.192,-0.23712718798284188,0.3196293973596072,57.84539681698047,29,-0.17500000000000004,0.3999999999999999,0.0939005244048409,-0.1937223943802835,0,0,68,65,70,69,63,68,67,69,66.7,69.2,68.5,67.5,65.6,67.1,69.0,67.4
23.2,-0.23674967239659106,0.3202284341757028,57.71598877040997,29,-0.17500000000000004,0.3999999999999999,0.09408245893150882,-0.19054703786687077,0,0,63,71,68,72,67,64,63,62,66.3,69.6,68.5,68.2,65.8,66.8,68.3,66.8
23.208000000000002,-0.23633709948392906,0.3208814633828118,57.71598877040997,29,-0.17500000000000004,0.3999999999999999,0.09399834739068012,-0.19201506119325717,0,0,67,62,70,69,60,66,67,74,66.5,68.6,68.9,68.4,65.2,66.8,68.2,67.8
23.216,-0.2359582318792795,0.32147964601633366,57.58658072383976,29,-0.17500000000000004,0.3999999999999999,0.09417983571468738,-0.18884749238540421,0,0,71,66,66,63,62,64,66,66,67.1,68.4,68.5,67.7,64.8,66.5,68.0,67.6
23.224,-0.23550888369977765,0.32218557603388376,57.45717267726926,29,-0.17500000000000004,0.3999999999999999,0.09434802592750142,-0.18591201940216928,0,0,71,73,69,69,71,65,70,66,67.7,69.1,68.7,67.9,65.6,66.4,68.4,67.4
23.232,-0.2351273178633194,0.3227820411521833,57.32776463069876,29,-0.17500000000000004,0.3999999999999999,0.09453081778624636,-0.18272169962122975,0,0,66,68,67,65,71,66,67,72,67.5,69.0,68.6,67.7,66.4,66.4,68.3,68.1
23.240000000000002,-0.23471032966693556,0.3234322598828245,57.32776463069906,29,-0.17500000000000004,0.3999999999999999,0.09444764815727649,-0.18417328348441586,0,0,67,71,68,70,71,64,69,74,67.5,69.3,68.6,68.0,67.2,66.2,68.4,69.0
23.248,-0.23429334147055172,0.3240824786134657,57.32776463069876,29,-0.17500000000000004,0.3999999999999999,0.09436315033619856,-0.185648048672987,0,0,70,61,63,66,65,60,64,64,67.9,68.2,67.9,67.8,67.0,65.4,67.9,68.4
23.256,-0.23391042943444806,0.3246780804078778,57.198356584128554,29,-0.17500000000000004,0.3999999999999999,0.09454427012196448,-0.18248691207086498,0,0,65,67,55,65,62,66,69,68,67.5,68.1,66.3,67.4,66.4,65.5,68.1,68.5
23.264,-0.23345630837341005,0.3253809495550323,57.06894853755804,29,-0.17500000000000004,0.3999999999999999,0.09471204833643726,-0.17955862981519766,0,0,68,61,74,69,64,63,69,71,67.7,67.3,67.4,67.7,66.1,65.2,68.3,68.9
