tiempo_s,x_est,y_est,theta_deg,wp_restantes
10.6,-1.0326439849331528,-0.5893506001283361,101.13481276161308,69
10.608,-1.0327185710295788,-0.5889716505240086,101.55772062043377,69
10.616,-1.032770158441108,-0.5887193913529727,100.84411226720337,69
10.624,-1.0328186000913429,-0.5884665092521382,101.03740640089217,69
10.632,-1.0328806091977063,-0.5881506893029314,101.12381519541995,69
10.64,-1.0329423126715134,-0.5878348094984026,100.38740183005531,69
10.648,-1.0329887370554185,-0.5875815493022031,100.1943953009394,69
10.656,-1.0330570935403758,-0.5872014265860124,100.4600071497987,69
10.664,-1.0331038388187186,-0.5869482254222065,101.16820530908656,69
10.672,-1.0331537101116033,-0.5866956213752357,100.35323164163619,69
10.68,-1.0331999834473646,-0.5864423335373959,100.60162552022457,69
10.688,-1.0332710399083107,-0.5860627062626148,100.0006881849001,69
10.696,-1.0333157538867255,-0.5858091384994146,99.65152733594896,69
10.704,-1.033369320950579,-0.5854917776019192,99.16373840011023,69
10.712,-1.0334209709027475,-0.585174099066242,99.27623172062614,69
10.72,-1.0334724580727106,-0.5848563941073285,98.21577760129156,69
10.728,-1.0335188451923834,-0.584537904539654,99.15580464402075,69
10.736,-1.0335696644812602,-0.5842200920643372,98.268856333521,69
10.744,-1.0336252099903147,-0.5838378871653317,98.3455367158227,69
10.752,-1.0336723182813103,-0.5835195034683426,99.04826465734817,69
10.76,-1.0337225409702564,-0.5832015961687975,98.46056934600145,69
10.768,-1.0337702883842368,-0.5828833076926518,98.48001944178462,69
10.776,-1.033817355729784,-0.5825649179400338,98.0645736645801,69
10.784,-1.0338629021928532,-0.5822463070656261,98.94864106586176,69
10.792,-1.0339125720417635,-0.5819283129215004,97.91814581644059,69
10.8,-1.0339480420328033,-0.5816732877656126,97.17038466854389,69
10.808,-1.0339962501706244,-0.5812900882564168,97.8703793803808,69
10.816,-1.034049136224069,-0.5809075062995095,97.51761262552644,69
10.824,-1.0340828225782384,-0.5806522394196704,97.37931184270413,69
10.832,-1.0341324277168558,-0.5802692182471189,96.58973775188541,69
10.84,-1.034176750024981,-0.5798855498728651,97.16206778438512,69
10.848,-1.0342088517004595,-0.5796300788709265,96.90884382579132,69
10.856,-1.0342553101325884,-0.5792466632967982,96.27639010475136,69
