tiempo_s,x_est,y_est,theta_deg,wp_restantes,dist_wp,estado,crudo_m,kalman_m,enc_izq_rad,enc_der_rad,long_ejecutada_m
2.432,-1.0041,-0.9948,71.63,150,0.0699,FOLLOW_PATH,0.1399,0.1362,5.5515,8.7229,0.1463
2.448,-1.0037,-0.9937,72.2,150,0.0688,FOLLOW_PATH,0.1378,0.1357,5.5955,8.792,0.1475
2.464,-1.0034,-0.9926,72.63,150,0.0677,FOLLOW_PATH,0.1359,0.1349,5.6394,8.8548,0.1486
2.48,-1.003,-0.9915,73.05,150,0.0665,FOLLOW_PATH,0.1356,0.1341,5.6897,8.9239,0.1498
2.496,-1.0027,-0.9904,73.48,150,0.0655,FOLLOW_PATH,0.1393,0.1345,5.7336,8.9867,0.1509
2.512,-1.0024,-0.9893,74.05,150,0.0643,FOLLOW_PATH,0.137,0.1342,5.7776,9.0558,0.152
2.528,-1.0021,-0.9882,74.33,150,0.0632,FOLLOW_PATH,0.136,0.1337,5.8278,9.1186,0.1532
2.544,-1.0017,-0.9871,74.9,150,0.0621,FOLLOW_PATH,0.1366,0.1335,5.8718,9.1876,0.1544
2.56,-1.0014,-0.9859,75.18,150,0.061,FOLLOW_PATH,0.1386,0.1338,5.922,9.2504,0.1555
2.576,-1.0012,-0.9848,75.75,150,0.0598,FOLLOW_PATH,0.1401,0.1344,5.966,9.3195,0.1567
2.592,-1.0009,-0.9838,76.17,150,0.0588,FOLLOW_PATH,0.1389,0.1346,6.01,9.3823,0.1578
2.608,-1.0006,-0.9826,76.46,150,0.0576,FOLLOW_PATH,0.1407,0.1352,6.0602,9.4451,0.1589
2.624,-1.0003,-0.9815,77.03,150,0.0565,FOLLOW_PATH,0.1388,0.1351,6.1042,9.5142,0.1601
2.64,-1.0001,-0.9804,77.31,150,0.0554,FOLLOW_PATH,0.1341,0.134,6.1544,9.577,0.1612
2.656,-0.9999,-0.9793,77.73,150,0.0543,FOLLOW_PATH,0.1428,0.1352,6.1984,9.6398,0.1623
2.672,-0.9996,-0.9781,78.16,150,0.0531,FOLLOW_PATH,0.139,0.1352,6.2486,9.7089,0.1636
2.688,-0.9994,-0.977,78.59,150,0.052,FOLLOW_PATH,0.136,0.1345,6.2926,9.7717,0.1647
