t,x,y,theta_deg,idx,target_x,target_y,v,w,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
3.352,-0.9862500683414357,-0.845016529781715,81.42254745559933,3,-0.975,-0.75,0.07357498271574311,0.09555687710242,67,64,64,70,61,74,65,66
3.36,-0.9861643726450391,-0.8444435729800981,81.56439858357075,3,-0.975,-0.75,0.07475548975577043,0.08868896553860361,68,64,67,65,62,71,69,66
3.368,-0.9860699433378063,-0.8438068369312242,81.56439858357072,3,-0.975,-0.75,0.07465161831971101,0.08929326505794077,66,70,68,66,64,60,67,67
3.376,-0.9859856664114135,-0.843233669723005,81.70624971154218,3,-0.975,-0.75,0.07583751429942558,0.0823940019138798,65,67,68,65,63,69,67,62
3.384,-0.9858928138034871,-0.8425967018406111,81.70624971154216,3,-0.975,-0.75,0.07573974815515172,0.08296278228539933,60,72,64,67,62,66,64,65
3.392,-0.9858085368770944,-0.8420235346323919,81.56439858357074,3,-0.975,-0.75,0.07436994795686537,0.09093195680358868,66,67,69,73,60,67,67,68
3.4,-0.9857242599507016,-0.8414503674241727,81.70624971154216,3,-0.975,-0.75,0.07555229652078478,0.08405333168804852,71,71,72,72,64,70,65,63
3.408,-0.9856314073427752,-0.8408133995417788,81.70624971154218,3,-0.975,-0.75,0.0754505967990078,0.08464499668583869,72,59,70,65,63,69,67,70
3.416,-0.9855485497029557,-0.8402400254401458,81.8481008395136,3,-0.975,-0.75,0.07663856428815351,0.07773368198842445,65,64,66,68,67,67,64,65
3.424,-0.9854572743634694,-0.8396028296284821,81.8481008395136,3,-0.975,-0.75,0.07654323450192424,0.07828828820339884,66,69,68,67,63,69,67,64
3.432,-0.9853758365180934,-0.8390292521478916,81.98995196748503,3,-0.975,-0.75,0.07773705199510597,0.07134293956209015,67,69,67,68,68,66,67,69
3.44,-0.9852861390065129,-0.8383918323126054,81.98995196748503,4,-0.975,-0.75,0.07764835590693252,0.0718589524861788,64,64,62,67,68,68,65,70
3.448,-0.9851964414949324,-0.8377544124773192,81.98995196748506,4,-0.975,-0.75,0.07755836767046075,0.07238248282434402,73,66,66,62,70,66,68,68
3.456,-0.9851150036495563,-0.8371808349967287,81.84810083951362,4,-0.975,-0.75,0.0761953776033444,0.08031203760539696,68,62,63,63,67,67,66,69
3.464,-0.9850335658041802,-0.8366072575161382,81.98995196748504,4,-0.975,-0.75,0.07738456093747972,0.07339364940856186,66,66,72,68,66,66,70,68
3.472,-0.9849438682925997,-0.835969837680852,81.98995196748504,4,-0.975,-0.75,0.07729073767381163,0.07393949103055353,60,63,65,62,64,67,67,62
3.48,-0.9848638507408347,-0.8353960603370072,82.13180309545649,4,-0.975,-0.75,0.07848605648304974,0.06698540808647913,56,70,69,66,69,63,64,63
3.488,-0.9847757316069546,-0.8347584203851188,82.13180309545649,4,-0.975,-0.75,0.0783991966261167,0.06749073825024343,68,65,63,64,66,68,64,70
3.496,-0.9846876124730746,-0.8341207804332305,82.13180309545648,4,-0.975,-0.75,0.07831101651237966,0.06800374935674158,69,59,64,66,67,61,63,62
3.504,-0.9845994933391945,-0.8334831404813421,82.13180309545648,4,-0.975,-0.75,0.07822148581503609,0.06852461784015884,72,66,71,69,67,64,63,62
3.512,-0.9845113742053144,-0.8328455005294537,82.13180309545645,4,-0.975,-0.75,0.07813057327145702,0.06905352557909805,71,67,72,68,67,67,63,67
3.52,-0.9844327774376225,-0.8322715268392828,82.27365422342788,4,-0.975,-0.75,0.0793286685593316,0.062083289737084435,69,66,64,67,66,69,63,73
3.528,-0.984346237221563,-0.8316336706791618,82.2736542234279,4,-0.975,-0.75,0.07924507478525929,0.06256961860099453,68,65,66,70,77,66,66,72
3.536,-0.9842596970055035,-0.8309958145190408,82.2736542234279,4,-0.975,-0.75,0.07916016120331926,0.06306362579583302,67,66,68,73,70,61,63,63
3.544,-0.9841731567894441,-0.8303579583589198,82.27365422342788,4,-0.975,-0.75,0.0790738963131355,0.06356549458335903,65,66,68,65,67,66,69,65
3.552,-0.9840866165733846,-0.8297201021987988,82.27365422342788,4,-0.975,-0.75,0.07898624760400451,0.06407541410317852,66,64,74,60,65,67,66,71
3.56,-0.984009441071519,-0.8291459356804334,82.41550535139929,4,-0.975,-0.75,0.08018745446949699,0.057087075836377066,63,63,63,69,65,67,63,66
3.568,-0.9839244803037223,-0.8285078672217744,82.41550535139933,4,-0.975,-0.75,0.080107519329127,0.05755211963221042,69,71,69,66,66,62,64,63
3.576,-0.9838395195359255,-0.8278697987631155,82.41550535139933,4,-0.975,-0.75,0.08002627131798269,0.05802480140059885,71,68,69,66,66,66,65,67
3.584,-0.9837545587681288,-0.8272317303044566,82.4155053513993,4,-0.975,-0.75,0.0799436778281067,0.05850531084694843,75,65,59,66,62,66,69,61
3.592,-0.983669598000332,-0.8265936618457977,82.4155053513993,4,-0.975,-0.75,0.07985970516281596,0.05899384401061458,69,66,67,69,65,62,69,67
3.6,-0.9835770100677798,-0.8258916713902745,82.55735647937072,4,-0.975,-0.75,0.0810482776860055,0.05207900936781651,63,69,66,65,63,64,65,69
3.608,-0.9834936292690069,-0.8252533945440738,82.55735647937072,4,-0.975,-0.75,0.08097219366746897,0.05252164824502016,68,68,64,69,69,60,66,67
3.616,-0.983410248470234,-0.824615117697873,82.55735647937077,4,-0.975,-0.75,0.0808948053649896,0.05297187513861833,69,65,69,70,71,66,65,66
3.624,-0.983326867671461,-0.8239768408516722,82.55735647937074,4,-0.975,-0.75,0.08081607895380738,0.0534298868330878,70,68,60,63,65,67,71,65
3.632,-0.9832434868726881,-0.8233385640054715,82.55735647937074,4,-0.975,-0.75,0.08073597942949588,0.05389588697592673,67,65,68,66,68,70,71,70
3.64,-0.9831691553128865,-0.8227640223898182,82.69920760734216,4,-0.975,-0.75,0.08194439580640052,0.04686560547192453,68,67,66,66,71,62,66,64
3.648,-0.9830873549942142,-0.8221255410683489,82.69920760734216,4,-0.975,-0.75,0.08187295246883283,0.047281245961647844,61,61,62,64,71,65,66,70
3.656,-0.9830055546755418,-0.8214870597468796,82.69920760734219,4,-0.975,-0.75,0.08180023066998093,0.04770432423762738,68,72,62,69,64,68,68,64
3.664,-0.9829164437965469,-0.8207846194461105,82.84105873531362,4,-0.975,-0.75,0.0830017238593861,0.04071432020582466,64,75,67,69,69,65,64,61
